City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Carutapera,BR,75.11,overcast clouds,-1.195,-46.02,Lidera
3,Ciudad Bolivar,VE,74.62,broken clouds,8.1222,-63.5497,Hotel Edi
6,Tamandare,BR,77.58,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
10,Rikitea,PF,78.49,few clouds,-23.1203,-134.9692,People ThankYou
16,Veraval,IN,73.63,clear sky,20.9,70.3667,Lords Inn Somnath
18,Acu,BR,75.85,broken clouds,-5.5767,-36.9086,Hotel Oásis
22,Gunnedah,AU,74.82,scattered clouds,-30.9833,150.25,Gunnedah Motor Inn
25,Arraial Do Cabo,BR,75.47,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
26,Mbandaka,CD,78.12,overcast clouds,0.0487,18.2603,Guest House Epervier
38,Cape Town,ZA,73.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
39,Atuona,PF,78.67,few clouds,-9.8,-139.0333,Villa Enata
43,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
46,Port Alfred,ZA,70.18,light rain,-33.5906,26.891,The Halyards Hotel
49,Bredasdorp,ZA,70.29,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
55,Kapaa,US,73.72,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
61,Kahului,US,73.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
67,Hilo,US,71.8,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
68,Tabuk,PH,77.02,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
76,Dunmore Town,BS,74.8,clear sky,25.5,-76.65,Coral Sands Hotel
77,Itacare,BR,75.06,overcast clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
82,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
91,Tefe,BR,71.58,moderate rain,-3.3542,-64.7114,Aracati Hotel
94,Ilebo,CD,74.32,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
