City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Krasnozatonskiy,RU,61.6758,50.9794,8.82,92,20,6.71,few clouds
1,Carutapera,BR,-1.195,-46.02,75.11,93,100,4.0,overcast clouds
2,Valparaiso,CL,-33.0393,-71.6273,66.47,72,0,5.75,clear sky
3,Ciudad Bolivar,VE,8.1222,-63.5497,74.62,78,66,9.6,broken clouds
4,Ushuaia,AR,-54.8,-68.3,44.26,87,0,5.75,clear sky
5,Maniitsoq,GL,65.4167,-52.9,6.71,80,100,19.57,light snow
6,Tamandare,BR,-8.7597,-35.1047,77.58,74,36,6.06,scattered clouds
7,Victoria,HK,22.2855,114.1577,65.25,71,64,1.99,broken clouds
8,Lagoa,PT,39.05,-27.9833,58.35,76,35,19.71,scattered clouds
9,Deputatskiy,RU,69.3,139.9,-29.4,99,25,3.06,scattered clouds
10,Rikitea,PF,-23.1203,-134.9692,78.49,73,13,7.85,few clouds
11,Nikolskoye,RU,59.7035,30.7861,21.87,92,100,13.91,light snow
12,Beringovskiy,RU,63.05,179.3167,-8.84,85,10,12.48,clear sky
13,Busselton,AU,-33.65,115.3333,107.04,38,0,9.4,clear sky
14,Klyuchi,RU,52.2667,79.1667,18.97,77,5,10.78,clear sky
15,Tasiilaq,GL,65.6145,-37.6368,20.7,67,100,39.44,overcast clouds
16,Veraval,IN,20.9,70.3667,73.63,45,9,5.75,clear sky
17,Mataura,NZ,-46.1927,168.8643,56.48,58,52,6.13,broken clouds
18,Acu,BR,-5.5767,-36.9086,75.85,80,54,5.17,broken clouds
19,San Cristobal,VE,7.7669,-72.225,64.09,93,62,3.06,broken clouds
20,Clyde River,CA,70.4692,-68.5914,-21.77,76,0,5.75,clear sky
21,Manali,IN,13.1667,80.2667,87.89,74,99,9.4,overcast clouds
22,Gunnedah,AU,-30.9833,150.25,74.82,37,30,19.71,scattered clouds
23,Albany,US,42.6001,-73.9662,14.95,85,100,5.79,overcast clouds
24,Qaanaaq,GL,77.484,-69.3632,1.0,73,100,6.33,overcast clouds
25,Arraial Do Cabo,BR,-22.9661,-42.0278,75.47,89,86,20.38,overcast clouds
26,Mbandaka,CD,0.0487,18.2603,78.12,55,100,3.24,overcast clouds
27,Pathein,MM,16.7833,94.7333,92.05,38,100,9.33,overcast clouds
28,Lompoc,US,34.6391,-120.4579,56.19,84,0,3.44,clear sky
29,Bambous Virieux,MU,-20.3428,57.7575,83.21,83,75,19.57,light rain
30,Saldanha,ZA,-33.0117,17.9442,66.25,58,12,6.08,few clouds
31,Saint-Philippe,RE,-21.3585,55.7679,89.19,87,100,23.11,moderate rain
32,Jamestown,US,42.097,-79.2353,15.39,51,100,11.5,overcast clouds
33,Sorland,NO,67.667,12.6934,35.44,77,100,32.03,light rain
34,Beyneu,KZ,45.3167,55.2,40.01,85,100,11.54,overcast clouds
35,Iqaluit,CA,63.7506,-68.5145,-20.47,57,100,3.44,overcast clouds
36,Talnakh,RU,69.4865,88.3972,1.2,94,95,3.18,overcast clouds
37,Khatanga,RU,71.9667,102.5,-35.91,100,60,2.46,broken clouds
38,Cape Town,ZA,-33.9258,18.4232,73.11,59,0,4.61,clear sky
39,Atuona,PF,-9.8,-139.0333,78.67,77,12,18.28,few clouds
40,Sisimiut,GL,66.9395,-53.6735,3.63,91,100,15.05,light snow
41,Paamiut,GL,61.994,-49.6678,4.03,89,100,8.34,light snow
42,Vardo,NO,70.3705,31.1107,22.53,90,100,27.45,light snow
43,Port-Gentil,GA,-0.7193,8.7815,76.96,100,75,1.14,broken clouds
44,Cairns,AU,-16.9167,145.7667,82.35,78,100,16.11,overcast clouds
45,Fortuna,US,40.5982,-124.1573,43.66,94,40,0.0,scattered clouds
46,Port Alfred,ZA,-33.5906,26.891,70.18,84,91,13.27,light rain
47,Nexo,DK,55.0607,15.1306,39.29,79,81,25.21,broken clouds
48,Cherskiy,RU,68.75,161.3,-31.86,97,10,3.58,clear sky
49,Bredasdorp,ZA,-34.5322,20.0403,70.29,64,52,17.27,broken clouds
50,Kempele,FI,64.9131,25.5034,23.13,93,100,14.97,light snow
51,Hithadhoo,MV,-0.6,73.0833,82.51,73,100,15.75,overcast clouds
52,Dikson,RU,73.5069,80.5464,-6.47,91,100,7.25,overcast clouds
53,Punta Arenas,CL,-53.15,-70.9167,44.71,70,0,2.3,clear sky
54,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,69,0,11.5,clear sky
55,Kapaa,US,22.0752,-159.319,73.72,75,100,4.61,overcast clouds
